2.034,1000
1.865,1500
1.845,2250
1.913,3375
2.126,5062
2.148,7593
2.426,11389
2.643,17083
2.245,25624
2.127,38436
2.388,57654
2.643,86481
2.548,129721
2.415,194581
2.192,291871
2.571,437806
2.419,656709
2.523,985063
2.164,1477594
2.435,2216391
2.627,3324586
2.369,4986879
2.412,7480318
2.026,11220477
2.073,16830715
